,0_drops,10p_adTime,10p_pfx_medianVis,1p_MOASlen,6months_percent,85p_beta_daybins,85p_beta_monthbins,85p_beta_weekbins,90p_adTime,90p_pfx_medianVis,95p_alpha_daybins,95p_alpha_monthbins,95p_alpha_weekbins,99p_MOASlen,ASN,Lifespan,MOAS_add%,MOAS_pfx_%,MOAS_size_add,MOAS_size_pfx,Uptime,bogons%_add,bogons%_pfx,highMaxVis_percent,highMedVis_percent,lowMaxVis_percent,lowMedVis_percent,median/unique_pfx,median_adTime,median_adTime_highMaxVis,median_adTime_highMedVis,median_adTime_lowMaxVis,median_adTime_lowMedVis,median_pfx_medianVis,q1_adTime,q1_adTime_highMaxVis,q1_adTime_highMedVis,q1_adTime_lowMaxVis,q1_adTime_lowMedVis,q1_pfx_medianVis,q3_adTime,q3_adTime_highMaxVis,q3_adTime_highMedVis,q3_adTime_lowMaxVis,q3_adTime_lowMedVis,q3_pfx_medianVis,range_MOASlen,rir_count,rir_gini_add,rir_gini_pfx,size_add,size_pfx,std_MOASlen,top_rir_add,top_rir_pfx,unassigned%_add,unassigned%_pfx,var_MOASlen,HardVotePred,SoftVotePred,Top1000,Top500,Top100,PrivateASN,DDoS,SH,allSH,UCEspam
3014,0,0.006944444444439999,0.8684860255600001,1.15740740741e-05,0.0,0.25,1.0,0.5,128.107638889,0.934940681569,0.25,1.6,1.0,369.88888888900004,32714,183.090277778,0.09865125240849999,0.153846153846,2023.0,673,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.192307692308,33.0729166667,33.0729166667,33.0729166667,0.0,0.0,0.931911983636,0.006944444444439999,0.006944444444439999,0.006944444444439999,0.0,0.0,0.9271462487540001,76.05555555560001,76.05555555560001,76.05555555560001,0.0,0.0,0.934056741569,0.0,5,0.5587202497073741,0.544,2595.0,26,61.594262651252606,0.499414748342,0.64,0.012331406551099999,0.0384615384615,3793.853191551491,1,1,0,0,0,0,0,1,1,0
3046,1,8.62152777778,0.44756960111500005,1.15740740741e-05,0.45454545454499995,1.0,3.5,1.0,413.4375,0.878195534725,0.2,1.0,0.75,189.47916666700002,45757,650.631944444,0.25,0.272727272727,10389.0,1272,1.0,0.0,0.0,0.8181818181820001,0.636363636364,0.0,0.0,0.363636363636,35.0833333333,35.0833333333,35.0833333333,0.0,0.0,0.826956608718,21.381944444400002,20.828125,33.034722222199996,0.0,0.0,0.581074505916,412.788194444,384.828125,413.4375,0.0,0.0,0.871181584635,400.24297453699995,2,0.7,0.6909090909090908,12.0,11,51.36563987372558,0.75,0.7272727272730001,0.0,0.0,2638.4289596372673,1,1,0,0,0,0,0,0,0,0
3067,0,0.0,0.017582417582400003,1.15740740741e-05,0.10755555555600001,0.0571428571429,0.416666666667,0.133333333333,193.93055555599997,0.804171940672,0.0757575757576,1.0,0.33333333333299997,289.920173611,5580,1825.99652778,0.024925141737,0.0408888888889,14186.25,1221,1.0,0.0,0.0,0.139555555556,0.11199999999999999,0.8320000000000001,0.836444444444,0.04266666666669999,0.0,429.024305556,429.024305556,0.0,0.0,0.0326086956522,0.0,87.4756944444,89.4236111111,0.0,0.0,0.0253623188406,0.0104166666667,707.739583333,870.604166667,0.0,0.0,0.09171384149919999,508.44790509300003,3,0.5335978460079741,0.7118518518518518,9949.79296875,1125,59.28692504175641,0.454927067306,0.8,0.129650938874,0.04,3514.939480906843,1,1,1,1,0,0,1,0,0,1
3070,0,28.1076388889,0.822833446723,1.15740740741e-05,0.375,0.33333333333299997,1.2,0.5,1033.54861111,0.883557951482,0.0,1.25,0.2,173.38541666700002,50841,1078.66666667,0.16,0.1875,2133.0,628,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3125,120.72222222200001,120.72222222200001,120.72222222200001,0.0,0.0,0.8609255256080001,49.1597222222,49.1597222222,49.1597222222,0.0,0.0,0.835273204005,601.9340277780001,601.9340277780001,601.9340277780001,0.0,0.0,0.876613979795,1.06255787037,4,0.624,0.65,25.0,16,36.1542824515271,0.72,0.8125,0.0,0.0,1307.1321395848006,1,1,0,0,0,0,0,0,0,0
3076,0,0.006944444444439999,0.741975308642,1.15740740741e-05,0.515384615385,0.111111111111,1.7,0.36,643.361111111,0.876743754638,0.16129032258099998,1.03125,0.52380952381,289.920173611,13682,1825.99652778,0.667802385009,0.523076923077,14186.25,1221,1.0,0.0,0.0,0.9769230769230001,0.892307692308,0.00769230769231,0.0538461538462,0.130769230769,230.52430555599997,230.52430555599997,230.53125,0.0,137.371527778,0.831592794449,23.6145833333,28.680555555599998,33.0069444444,0.0,0.0,0.8098905076780001,407.88541666699996,411.24652777800003,413.835069444,0.0,137.38541666700002,0.847734503627,390.215266204,3,0.7733333333333333,0.7441860465116279,587.0,130,59.28692504175641,0.935135135135,0.8682170542640001,0.0545144804089,0.00769230769231,3514.939480906843,1,1,0,0,0,0,0,0,0,1
3085,51,0.0104166666667,0.044217687074800005,1.15740740741e-05,0.0,0.0,0.0,0.0,30.9097222222,0.179619382868,0.0,1.0,0.0,173.38541666700002,65017,1248.15972222,0.941176470588,0.941176470588,2133.0,628,0.0938,0.0,0.0,0.0,0.0,0.8823529411759999,0.8823529411759999,0.0,7.0,0.0,0.0,0.111111111111,0.111111111111,0.087833225625,0.111111111111,0.0,0.0,0.111111111111,0.111111111111,0.0712423389775,7.006944444439999,0.0,0.0,7.006944444439999,7.006944444439999,0.112266577211,71.94444444439999,4,0.611764705882353,0.611764705882353,17.0,17,36.1542824515271,0.705882352941,0.705882352941,0.0,0.0,1307.1321395848006,1,1,0,0,0,1,0,0,0,0
3088,56,0.0,0.0172413793103,1.15740740741e-05,0.0769230769231,1.0,2.0,1.0,130.96875,0.283439802526,0.0,1.0,1.0,289.920173611,65014,1779.83680556,0.982725527831,0.615384615385,14186.25,1221,0.3317,0.0,0.0,0.0,0.0,0.38461538461499994,0.692307692308,0.0,0.0798611111111,0.0,0.0,0.0,0.0798611111111,0.11555174244300001,0.0138888888889,0.0,0.0,0.0,0.0,0.036184178162500004,9.31423611111,0.0,0.0,0.078125,0.375,0.234700402702,440.98263888900004,3,0.4982725527831094,0.5538461538461538,8.140625,13,59.28692504175641,0.491362763916,0.538461538462,0.0,0.0,3514.939480906843,1,1,0,0,0,1,0,0,0,0
3089,950,0.0,0.0173061251072,1.15740740741e-05,0.0810810810811,1.0,6.0,1.5,176.72569444400003,0.18794317061000002,0.666666666667,3.0,2.0,173.38541666700002,65013,1749.17361111,0.8,0.72972972973,2133.0,628,0.5379,0.0,0.0,0.0,0.0,0.405405405405,0.648648648649,0.027027027026999998,8.68402777778,0.0,0.0,0.0138888888889,2.265625,0.134021031783,0.0329861111111,0.0,0.0,0.0,0.0034722222222199994,0.042611674431300005,65.89930555560001,0.0,0.0,0.899305555556,12.527777777799999,0.16443895725299998,407.298622686,4,0.4861538461538462,0.4324324324324325,65.0,37,36.1542824515271,0.538461538462,0.513513513514,0.0,0.0,1307.1321395848006,1,1,0,0,0,1,0,0,0,0
3090,121,0.0,0.05946373683759999,1.15740740741e-05,0.0493827160494,1.0,8.0,2.0,3.94791666667,0.420455088675,0.0,4.0,2.0,173.38541666700002,65012,1803.51736111,0.980066445183,0.938271604938,2133.0,628,0.5085,0.0,0.0,0.0,0.0,0.123456790123,0.19753086419799998,0.0123456790123,1.97569444444,0.0,0.0,0.546875,3.29513888889,0.413698892424,1.3645833333300001,0.0,0.0,0.0,0.0034722222222199994,0.16053511705700002,1.9791666666699999,0.0,0.0,3.94791666667,93.1180555556,0.417290267467,440.96873842599996,4,0.7614617940199335,0.6617283950617284,301.0,81,36.1542824515271,0.943521594684,0.802469135802,0.0,0.0,1307.1321395848006,1,1,0,0,0,1,0,0,0,0
3091,74,0.0,0.0192376051343,1.15740740741e-05,0.111111111111,1.0,5.0,1.0,207.50694444400003,0.18115344691399998,0.0,2.0,1.0,173.38541666700002,65011,1656.61111111,0.856801338752,0.5277777777780001,2133.0,628,0.6915,0.0,0.0,0.0,0.0,0.861111111111,0.888888888889,0.0277777777778,19.0416666667,0.0,0.0,19.0416666667,19.0416666667,0.042557660583,0.0138888888889,0.0,0.0,0.006944444444439999,0.0138888888889,0.0192376051343,70.1892361111,0.0,0.0,52.71875,61.4375,0.0717019225287,680.635405093,4,0.5997609371264642,0.5333333333333333,98.0390625,36,36.1542824515271,0.6630010359390001,0.555555555556,0.0,0.0,1307.1321395848006,1,1,0,0,0,1,0,0,0,0
