,0_drops,10p_adTime,10p_pfx_medianVis,1p_MOASlen,6months_percent,85p_beta_daybins,85p_beta_monthbins,85p_beta_weekbins,90p_adTime,90p_pfx_medianVis,95p_alpha_daybins,95p_alpha_monthbins,95p_alpha_weekbins,99p_MOASlen,ASN,MOAS_add%,MOAS_pfx_%,Uptime,bogons%_add,bogons%_pfx,highMaxVis_percent,highMedVis_percent,lowMaxVis_percent,lowMedVis_percent,median/unique_pfx,median_adTime,median_adTime_highMaxVis,median_adTime_highMedVis,median_adTime_lowMaxVis,median_adTime_lowMedVis,median_pfx_medianVis,q1_adTime,q1_adTime_highMaxVis,q1_adTime_highMedVis,q1_adTime_lowMaxVis,q1_adTime_lowMedVis,q1_pfx_medianVis,q3_adTime,q3_adTime_highMaxVis,q3_adTime_highMedVis,q3_adTime_lowMaxVis,q3_adTime_lowMedVis,q3_pfx_medianVis,range_MOASlen,rir_count,rir_gini_add,rir_gini_pfx,std_MOASlen,top_rir_add,top_rir_pfx,unassigned%_add,unassigned%_pfx,var_MOASlen,class
65,0,0.03125,0.07118291086360001,1.15740740741e-05,0.361111111111,0.07142857142860001,1.9130434782599997,0.363636363636,1824.59027778,0.8739403050929999,0.0454545454545,0.266666666667,0.08695652173910001,288.211805556,8315,0.0641025641026,0.0416666666667,1.0,0.0,0.0,0.986111111111,0.763888888889,0.0,0.111111111111,0.305555555556,2.84895833333,3.23958333333,8.05902777778,0.0,2.87847222222,0.83436794294,0.20833333333299997,0.215277777778,0.347222222222,0.0,1.5989583333300001,0.789061459526,1113.89930556,1153.04861111,1824.36111111,0.0,8.927083333330001,0.855924009872,0.006932870370369999,1,0.8,0.7999999999999999,42.007607003242455,1.0,1.0,0.0384615384615,0.0277777777778,1764.6390461388648,0
66,0,0.1875,0.41297881729900004,1.15740740741e-05,0.673076923077,0.0434782608696,0.08695652173910001,0.0434782608696,1825.21527778,0.865580428952,0.0,0.25,0.04,189.47916666700002,29422,0.103718867281,0.115384615385,1.0,0.0,0.0,0.903846153846,0.7884615384620001,0.05769230769230001,0.05769230769230001,0.46153846153800004,813.173611111,829.767361111,1088.70486111,0.1875,0.1875,0.8119004873119999,30.6597222222,50.1666666667,414.43576388900004,0.0173611111111,0.0173611111111,0.7965460386419999,1824.60243056,1824.60416667,1824.60590278,14.0555555556,14.0555555556,0.838640808475,0.24304398148200002,2,0.7994541112248379,0.7923076923076923,51.36563987372558,0.998635278062,0.980769230769,0.0,0.0,2638.4289596372673,0
67,0,8.083333333330001,0.8167733816380001,1.15740740741e-05,0.638554216867,0.02,0.0384615384615,0.02,1825.40625,0.867617330651,0.0,0.0980392156863,0.0,288.211805556,14361,0.0076775431861800005,0.0481927710843,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.602409638554,1816.4375,1816.4375,1816.4375,0.0,0.0,0.8606637203949999,42.1145833333,42.1145833333,42.1145833333,0.0,0.0,0.8296465916079999,1825.40277778,1825.40277778,1825.40277778,0.0,0.0,0.8631241866060001,2.62847222222,1,0.7999999999999999,0.7999999999999999,42.007607003242455,1.0,1.0,0.0,0.0,1764.6390461388648,0
68,0,0.0138888888889,0.021806853582599997,1.15740740741e-05,0.39759036144599996,0.08695652173910001,1.38095238095,0.363636363636,1824.53125,0.875097125097,0.13636363636399998,0.40625,0.2,288.211805556,15699,0.08437278166510001,0.03614457831330001,1.0,0.0,0.0,0.7469879518070001,0.614457831325,0.240963855422,0.301204819277,0.253012048193,20.3541666667,111.088541667,323.597222222,58.967013888900006,7.77777777778,0.8229614850210001,0.114583333333,0.128472222222,0.277777777778,0.100694444444,0.119791666667,0.0436231930714,643.732638889,1117.78125,1824.14583333,117.142361111,117.145833333,0.850820924777,0.0173611111111,1,0.7999999999999999,0.7999999999999999,42.007607003242455,1.0,1.0,0.0,0.0,1764.6390461388648,0
69,0,629.1597222219999,0.8001753500200001,1.15740740741e-05,1.0,0.1,0.1,0.1,629.239583333,0.8065230496269999,0.0,1.0,0.0,288.211805556,13343,0.8387096774189999,0.3,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,629.166666667,629.166666667,629.166666667,0.0,0.0,0.8001825201620001,629.1597222219999,629.1597222219999,629.1597222219999,0.0,0.0,0.800175929932,629.211805556,629.211805556,629.211805556,0.0,0.0,0.806404916289,0.0,1,0.7999999999999999,0.8,42.007607003242455,1.0,1.0,0.0,0.0,1764.6390461388648,0
70,1,112.34722222200001,0.8434056109999999,1.15740740741e-05,0.839694656489,0.0238095238095,0.0952380952381,0.0277777777778,1824.56597222,0.9027838788150001,0.00943396226415,0.424242424242,0.047619047619,189.47916666700002,38794,0.033868092691599995,0.145038167939,1.0,0.0,0.0,0.9847328244269999,0.954198473282,0.0,0.0,0.6183206106870001,1236.04166667,1236.05208333,1236.13194444,0.0,0.0,0.886320898486,433.336805556,433.41666666699996,433.49826388900004,0.0,0.0,0.8674951540260001,1791.24652778,1800.25694444,1810.43576389,0.0,0.0,0.897119167229,132.847210648,2,0.7971479500891265,0.7877862595419848,51.36563987372558,0.9928698752230001,0.969465648855,0.0,0.0,2638.4289596372673,0
71,0,0.0,0.0636042402827,1.15740740741e-05,0.0801526717557,0.166666666667,1.25,0.38461538461499994,4.246527777780001,0.82332155477,0.08333333333330001,0.28571428571400004,0.125,189.47916666700002,12779,0.0175300441675,0.0038167938931300003,1.0,0.004382511041869999,0.0038167938931300003,0.148854961832,0.145038167939,0.847328244275,0.851145038168,0.0496183206107,0.0,175.14236111099999,185.565972222,0.0,0.0,0.0636042402827,0.0,0.0,0.0,0.0,0.0,0.0636042402827,0.0,1662.0,1662.0,0.0,0.0,0.0742049469965,0.0,2,0.792957116819698,0.7984674329501915,51.36563987372558,0.982392792049,0.996168582375,0.0,0.0,2638.4289596372673,0
72,1,12.708333333299999,0.545091302242,1.15740740741e-05,0.671641791045,1.0,1.0,1.0,508.46527777800003,0.833766728451,0.0,0.7741935483869999,0.0,288.211805556,11955,0.127530364372,0.373134328358,0.8242,0.0,0.0,1.0,0.791044776119,0.0,0.0,0.014925373134299999,399.90625,399.90625,502.84027777800003,0.0,0.0,0.8041147314020001,91.71875,91.71875,12.8420138889,0.0,0.0,0.7985861987459999,508.45486111099996,508.45486111099996,508.45659722199997,0.0,0.0,0.8285933002879999,0.00346064814815,1,0.8,0.8,42.007607003242455,1.0,1.0,0.0,0.0,1764.6390461388648,0
73,0,204.70138888900001,0.7344019112960001,1.15740740741e-05,0.9,0.0769230769231,0.357142857143,0.08333333333330001,1825.20833333,0.8527214755020001,0.0,0.153846153846,0.0769230769231,189.47916666700002,25,0.0012269938650300001,0.05,1.0,0.0,0.0,0.9,0.85,0.05,0.05,0.7,1668.66145833,1824.59548611,1824.80555556,1.8125,1.8125,0.838165387879,683.586805556,874.40625,1052.65625,1.8125,1.8125,0.8195960816399999,1825.18576389,1825.1875,1825.19097222,1.8125,1.8125,0.8461539045149999,0.0,2,0.7995067817509249,0.7777777777777777,51.36563987372558,0.998766954377,0.944444444444,0.0049079754601200004,0.1,2638.4289596372673,0
74,0,7.84375,0.0366071428571,1.15740740741e-05,0.8697323672930001,0.00497604128271,0.135203164329,0.0307692307692,1564.34722222,0.0681104875872,0.48945686901,3.37181122449,2.2583518931,189.47916666700002,4538,0.041108321967400004,0.0325299423333,1.0,0.0,0.0,0.8274434422589999,0.033564985953000004,0.0943368327665,0.960668342452,0.8033417122579999,1243.34375,1284.51041667,1814.95833333,0.0104166666667,1243.31597222,0.055703329335599995,1211.61805556,1239.27083333,1292.78819444,0.0034722222222199994,1211.77430556,0.0466712456917,1481.57986111,1487.93576389,1824.33333333,0.0104166666667,1477.14756944,0.061209487976599995,1261.09373843,2,0.7984042835582049,0.7995239512049985,51.36563987372558,0.996010708896,0.998809878012,0.300251022932,0.00606239834393,2638.4289596372673,0
75,0,0.649305555556,0.48129204162600003,1.15740740741e-05,0.802919708029,0.023255813953499998,0.18867924528299998,0.06741573033710001,1824.32986111,0.8706460526880001,0.023255813953499998,0.2625,0.0961538461538,289.920173611,12956,0.012441604043499999,0.0510948905109,1.0,0.0,0.0,0.8905109489049999,0.8394160583939999,0.0729927007299,0.0729927007299,0.620437956204,1165.85416667,1179.64930556,1198.64930556,0.046875,0.046875,0.8187728847560001,308.807291667,440.586805556,586.03125,0.0347222222222,0.0347222222222,0.802474915599,1775.27256944,1810.25,1822.46875,0.184027777778,0.184027777778,0.841521045327,518.354155093,3,0.6441664793541056,0.5226277372262774,59.28692504175641,0.725501035788,0.525547445255,0.0,0.0,3514.939480906843,0
76,0,233.871527778,0.757806024259,1.15740740741e-05,0.9076923076919999,0.04,0.258064516129,0.0769230769231,1825.10416667,0.9302275731180001,0.02,0.4,0.0769230769231,288.211805556,2381,0.130654111317,0.184615384615,1.0,0.0,0.0,0.9846153846150001,0.9692307692309999,0.0,0.0,0.615384615385,1226.07638889,1226.390625,1226.70486111,0.0,0.0,0.911284530211,316.14236111099996,320.401041667,317.190972222,0.0,0.0,0.9021351512219999,1825.06944444,1825.06944444,1825.06944444,0.0,0.0,0.927260163906,41.333321759200004,1,0.8000000000000002,0.8,42.007607003242455,1.0,1.0,0.06457037161590001,0.0307692307692,1764.6390461388648,0
77,0,0.0,0.18720379146899999,1.15740740741e-05,0.34868421052599996,0.0384615384615,0.17857142857099997,0.0625,1824.43055556,0.8547418065729999,0.0,0.28571428571400004,0.0769230769231,289.920173611,24940,0.00890144642896,0.17105263157900003,1.0,0.0,0.0,0.48026315789499996,0.47368421052599996,0.0394736842105,0.0394736842105,0.23026315789500001,0.022569444444400004,664.989583333,691.0850694439999,0.0017361111111099997,0.0017361111111099997,0.5027958148080001,0.0017361111111099997,147.07291666700002,147.08333333299998,0.0,0.0,0.18957345971500003,633.888888889,1824.32291667,1824.32291667,0.795138888889,0.795138888889,0.836824615095,28.0867939815,3,0.7996554278801692,0.7921052631578948,59.28692504175641,0.999282141417,0.986842105263,0.0,0.0,3514.939480906843,0
78,5,0.17708333333299997,0.18768498348499998,1.15740740741e-05,0.874015748031,0.14285714285700002,1.2,0.3,873.125,0.8278180690320001,0.75,2.06382978723,1.0,288.211805556,262983,0.40460526315800005,0.181102362205,1.0,0.0,0.0,0.9133858267720001,0.173228346457,0.0787401574803,0.0866141732283,0.149606299213,608.239583333,644.5190972219999,704.3680555560001,0.0104166666667,0.0104166666667,0.19406705980900002,331.128472222,342.96875,299.694444444,0.0034722222222199994,0.0034722222222199994,0.188632010925,702.1875,712.2743055560001,921.78125,0.0104166666667,0.0104166666667,0.209670144862,309.48609953700003,1,0.8,0.8,42.007607003242455,1.0,1.0,0.0,0.0,1764.6390461388648,0
79,2,509.28472222199997,0.8256389148890001,1.15740740741e-05,0.915094339623,0.14285714285700002,1.0,0.166666666667,1168.28819444,0.861142362155,0.06666666666669999,1.35714285714,0.714285714286,288.211805556,28130,0.14644351464400002,0.141509433962,1.0,0.0,0.0,0.971698113208,0.9245283018870001,0.00943396226415,0.00943396226415,0.339622641509,704.317708333,704.3368055560001,704.3784722219999,0.006944444444439999,0.006944444444439999,0.841692386012,704.267361111,704.270833333,704.295138889,0.006944444444439999,0.006944444444439999,0.8365918674259999,996.125,996.125,996.125,0.006944444444439999,0.006944444444439999,0.850392649865,104.607638889,1,0.7999999999999999,0.8,42.007607003242455,1.0,1.0,0.0334728033473,0.00943396226415,1764.6390461388648,0
80,0,191.61458333299998,0.07609222293389999,1.15740740741e-05,0.941176470588,0.111111111111,0.4,0.14285714285700002,1825.17013889,0.845413589229,0.0,0.533333333333,0.181818181818,288.211805556,14041,0.489485564928,0.294117647059,1.0,0.0,0.0,0.588235294118,0.470588235294,0.117647058824,0.529411764706,0.647058823529,1501.87847222,1824.74131944,1824.82638889,231.394097222,602.298611111,0.0996346327843,332.328125,202.39583333299998,1719.80902778,0.5277777777780001,200.453125,0.08063478059689999,1824.82638889,1825.11458333,1825.14236111,462.26041666699996,1498.52083333,0.8351533011460001,0.0729050925926,1,0.7999999999999999,0.8,42.007607003242455,1.0,1.0,0.0,0.0,1764.6390461388648,0
81,0,12.034722222200001,0.41977901178099997,1.15740740741e-05,0.714285714286,0.0625,1.22222222222,0.3125,1825.22916667,0.8670728317120001,0.125,0.55,0.3125,288.211805556,3267,0.00803389298603,0.14285714285700002,1.0,0.0,0.0,0.942857142857,0.6857142857140001,0.0571428571429,0.0857142857143,0.514285714286,832.2256944439999,1025.03472222,1307.484375,332.317708333,284.53125,0.84182342016,141.20833333299998,141.20833333299998,141.20833333299998,284.53125,160.590277778,0.5054832091629999,1824.34722222,1824.35069444,1825.20138889,380.10416666699996,380.10416666699996,0.866416538946,42.7499884259,1,0.7999999999999999,0.8,42.007607003242455,1.0,1.0,0.028564952839200002,0.0285714285714,1764.6390461388648,0
82,86,0.0,0.0386178861789,1.15740740741e-05,0.050216450216499994,0.263157894737,8.05882352941,1.67741935484,96.5833333333,0.877104206168,0.368421052632,6.0,1.39130434783,369.88888888900004,3266,0.133036989998,0.0571428571429,0.9436,0.0,0.0,0.8571428571430001,0.668398268398,0.06406926406930001,0.21385281385299998,0.029437229437199997,0.975694444444,1.11458333333,7.020833333330001,0.0,0.07291666666669999,0.820711616783,0.038194444444400004,0.0625,0.06770833333330001,0.0,0.0,0.27012987013,12.9201388889,15.309027777799999,28.1770833333,0.0034722222222199994,0.246527777778,0.8527640941429999,130.22568287,5,0.3396913078797726,0.4202266782911944,61.594262651252606,0.439155158408,0.39930252833499996,0.022860771551,0.00692640692641,3793.853191551491,1
83,0,21.107638888900002,0.7919738463680001,1.15740740741e-05,0.544117647059,0.2,0.459459459459,0.2,498.586805556,0.814475088768,0.020833333333299998,0.363636363636,0.0769230769231,289.920173611,7342,0.0147058823529,0.0147058823529,1.0,0.0,0.0,0.955882352941,0.955882352941,0.0,0.0,0.07352941176469999,264.168402778,279.89236111099996,279.89236111099996,0.0,0.0,0.797557273333,101.80034722200001,127.904513889,127.904513889,0.0,0.0,0.794859880878,435.99479166699996,438.09375,438.09375,0.0,0.0,0.801968794407,0.0,3,0.6705882352941176,0.6705882352941176,59.28692504175641,0.7352941176469999,0.7352941176469999,0.0,0.0,3514.939480906843,0
84,0,1334.74652778,0.8921125854690001,1.15740740741e-05,1.0,0.111111111111,0.111111111111,0.111111111111,1824.5,0.917085569927,0.0,0.0909090909091,0.0,288.211805556,50957,0.33684210526299996,0.0909090909091,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1824.36111111,1824.36111111,1824.36111111,0.0,0.0,0.894030364069,1824.35069444,1824.35069444,1824.35069444,0.0,0.0,0.893550325498,1824.49305556,1824.49305556,1824.49305556,0.0,0.0,0.895173525617,0.0,1,0.7999999999999999,0.7999999999999999,42.007607003242455,1.0,1.0,0.0,0.0,1764.6390461388648,0
85,0,0.07291666666669999,0.07369849318,1.15740740741e-05,0.587939698492,0.013157894736799998,0.20238095238099998,0.058139534883699995,1825.30208333,0.873207589906,0.012658227848100001,0.10752688172000001,0.0561797752809,173.38541666700002,5400,0.115419296664,0.105527638191,1.0,0.0,0.0,0.70351758794,0.6432160804020001,0.26633165829100003,0.27135678391999996,0.422110552764,379.04513888900004,1241.08159722,1457.66666667,0.07291666666669999,0.07291666666669999,0.812664554014,0.07291666666669999,270.04513888900004,254.58506944400003,0.07291666666669999,0.07291666666669999,0.07718881668210001,1824.46875,1824.99479167,1825.06770833,0.07291666666669999,0.07291666666669999,0.847975295218,589.19443287,4,0.7912117029017917,0.7548717948717949,36.1542824515271,0.983599304711,0.902564102564,0.11404852116900001,0.020100502512599996,1307.1321395848006,0
86,0,6.46875,0.816890224567,1.15740740741e-05,0.758620689655,0.1,0.785714285714,0.25,1823.01388889,0.92661631784,0.06666666666669999,0.428571428571,0.181818181818,288.211805556,16094,0.170212765957,0.275862068966,1.0,0.0,0.0,0.931034482759,0.931034482759,0.0,0.0,0.48275862069,582.5659722219999,1119.24652778,1119.24652778,0.0,0.0,0.882269149864,194.69618055599997,246.965277778,246.965277778,0.0,0.0,0.837431654883,1535.515625,1608.04513889,1608.04513889,0.0,0.0,0.9157180954009999,32.8020833334,1,0.8,0.8,42.007607003242455,1.0,1.0,0.29787234042599997,0.137931034483,1764.6390461388648,0
87,0,0.0590277777778,0.0217022025862,1.15740740741e-05,0.36525325428499994,0.014583333333299997,0.392523364486,0.09400406504069998,1210.22569444,0.831738909374,0.0406015037594,0.5609756097559999,0.263432446531,369.88888888900004,3549,0.0100427268427,0.349916226318,1.0,0.000232069595521,0.000257765175925,0.278515272587,0.255574171929,0.511406109035,0.5722386905529999,0.23817502255399997,94.96527777780001,796.75,832.3125,56.9583333333,61.8940972222,0.0757389162562,25.9375,329.456597222,377.84722222199997,0.5972222222219999,0.600694444444,0.026700231942500003,593.701388889,1279.26041667,1384.62152778,115.008680556,137.576388889,0.7799222360079999,1260.46526621,5,0.757596370342713,0.6138634310055505,61.594262651252606,0.928115135264,0.664386214018,0.9497410839139999,0.0012888258796199998,3793.853191551491,0
88,0,621.979166667,0.837706996142,0.0,0.953488372093,0.0285714285714,0.111111111111,0.0277777777778,1825.19444444,0.857062376322,0.0277777777778,0.111111111111,0.0285714285714,0.0,766,0.0,0.0,1.0,0.0,0.0,0.953488372093,0.953488372093,0.046511627906999996,0.046511627906999996,0.837209302326,1824.84722222,1824.85416667,1824.85416667,0.0,0.0,0.8453795742910001,1793.47222222,1821.41145833,1821.41145833,0.0,0.0,0.8430242046340001,1824.89930556,1824.90625,1824.90625,0.0,0.0,0.850257610889,0.0,1,0.7999999999999999,0.7999999999999999,0.0,1.0,1.0,0.15866129532099998,0.023255813953499998,0.0,0
89,0,21.295138888900002,0.676873928627,1.15740740741e-05,0.7169811320749999,0.0454545454545,0.166666666667,0.052631578947400004,1825.03472222,0.874702358665,0.0,0.13636363636399998,0.0454545454545,189.47916666700002,12637,0.0121065375303,0.09433962264149999,1.0,0.0,0.0,0.981132075472,0.88679245283,0.0,0.0,0.490566037736,954.947916667,970.1840277780001,1120.52777778,0.0,0.0,0.827092848277,166.190972222,167.154513889,168.11458333299998,0.0,0.0,0.819645919154,1824.32291667,1824.32291667,1824.34375,0.0,0.0,0.8406514839650001,1286.76736111,2,0.7970944309927361,0.7849056603773585,51.36563987372558,0.992736077482,0.962264150943,0.0,0.0,2638.4289596372673,0
90,0,0.006944444444439999,0.0162206001622,1.15740740741e-05,0.0636623748212,0.0684931506849,2.22972972973,0.49350649350599995,0.104166666667,0.025287356321799997,0.027027027026999998,0.34426229508199996,0.0684931506849,288.211805556,1241,0.0034658513175399998,0.0064377682403400005,1.0,0.0,0.0,0.0729613733906,0.0600858369099,0.926323319027,0.9284692417739999,0.0507868383405,0.0104166666667,1575.03472222,1823.36458333,0.006944444444439999,0.006944444444439999,0.017476818174700003,0.006944444444439999,564.260416667,1574.42708333,0.006944444444439999,0.006944444444439999,0.016837059777600003,0.0173611111111,1824.53125,1824.90104167,0.0138888888889,0.0138888888889,0.022050779277599998,60.9513773148,1,0.7999999999999999,0.8000000000000002,42.007607003242455,1.0,1.0,0.046697786173199994,0.0007153075822600001,1764.6390461388648,0
91,0,2.88541666667,0.7985321126170001,1.15740740741e-05,0.36888888888899996,0.0408163265306,0.53488372093,0.14,1385.35763889,0.8624604133689999,0.0645161290323,1.39285714286,0.410256410256,288.211805556,11556,0.000264334647664,0.013333333333299998,1.0,0.0,0.0,0.9955555555560001,0.955555555556,0.004444444444439999,0.004444444444439999,0.217777777778,98.8541666667,98.8489583333,98.9375,291.11111111099996,291.11111111099996,0.826362278134,17.288194444400002,17.288194444400002,43.861111111099994,291.11111111099996,291.11111111099996,0.8074616340809999,663.0434027780001,663.0434027780001,765.25,291.11111111099996,291.11111111099996,0.8388030537360001,628.809039352,1,0.7999999999999999,0.8,42.007607003242455,1.0,1.0,0.406018018812,0.026666666666700003,1764.6390461388648,0
